OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Population 16 years and over, 2022","# Population 16 years and over, 2022 (MOE)","# In labor force, 2022","# In labor force, 2022 (MOE)","% In labor force, 2022","% In labor force, 2022 (MOE)","# In civilian labor force, 2022","# In civilian labor force, 2022 (MOE)","% In civilian labor force, 2022","% In civilian labor force, 2022 (MOE)","# Civilian employed, 2022","# Civilian employed, 2022 (MOE)","% Civilian employed, 2022","% Civilian employed, 2022 (MOE)","# Civilian unemployed, 2022","# Civilian unemployed, 2022 (MOE)","% Civilian unemployed, 2022","% Civilian unemployed, 2022 (MOE)","# In armed forces, 2022","# In armed forces, 2022 (MOE)","% In armed forces, 2022","% In armed forces, 2022 (MOE)","# Not in labor force, 2022","# Not in labor force, 2022 (MOE)","% Not in labor force, 2022","% Not in labor force, 2022 (MOE)","% Unemployed as part of total labor force (including armed forces), 2022","% Unemployed as part of total labor force (including armed forces), 2022 (MOE)","# Civilian Unemployed, 2022","# Civilian Unemployed, 2022 (MOE)","% Unemployment Rate, 2022","% Unemployment Rate, 2022 (MOE)",Shape__Area,Shape__Length
79,NSAT02,Atlanta Regional Commission,Yes,4720,NSA,2020,NSA T02,5993,312,1870,380,31.2,6.1,1870,380,31.2,6.1,1553,336,25.9,5.4,317,211,5.3,3.5,0,108,0,1.8,4122,555,68.8,8.5,17,10.8,317,211,17,10.8,2276469.34,6501.997588
80,NSAT03,Atlanta Regional Commission,Yes,4721,NSA,2020,NSA T03,2537,354,1758,324,69.3,8.3,1744,323,68.7,8.4,1589,309,62.6,8.5,154,108,6.1,4.2,14,67,0.6,2.6,779,188,30.7,6,8.8,5.9,154,108,8.9,6,2341205.633,6942.211325
81,NSAT04,Atlanta Regional Commission,Yes,4722,NSA,2020,NSA T04,4168,540,2503,381,60,4.8,2497,381,59.9,4.8,2207,364,53,5.4,289,155,6.9,3.6,6,93,0.1,2.2,1666,338,40,6.2,11.6,5.9,289,155,11.6,6,4057879.004,9573.028275
82,NSAV01,Atlanta Regional Commission,Yes,4723,NSA,2020,NSA V01,3024,617,2081,473,68.8,6.9,2081,473,68.8,6.9,1928,451,63.7,7.3,153,163,5.1,5.3,0,84,0,2.8,943,336,31.2,9.1,7.4,7.7,153,163,7.4,7.7,2520052.684,6916.128202
83,NSAV02,Atlanta Regional Commission,Yes,4724,NSA,2020,NSA V02,3604,422,2523,353,70,5.4,2510,353,69.6,5.4,2245,327,62.3,5.4,265,168,7.4,4.6,13,109,0.4,3,1081,232,30,5.4,10.5,6.5,265,168,10.6,6.5,4575042.215,10063.38453
84,NSAV03,Atlanta Regional Commission,Yes,4725,NSA,2020,NSA V03,2350,715,1726,539,73.4,5.1,1726,539,73.4,5.1,1620,533,68.9,8.7,106,99,4.5,4,0,63,0,2.7,624,252,26.6,7,6.1,5.4,106,99,6.1,5.4,1993726.133,5984.271571
85,NSAV04,Atlanta Regional Commission,Yes,4726,NSA,2020,NSA V04,3922,828,2381,759,60.7,14.5,2381,759,60.7,14.5,2198,736,56.1,14.6,183,162,4.7,4,0,77,0,2,1540,442,39.3,7.6,7.7,6.3,183,162,7.7,6.3,2840573.883,7743.681875
86,NSAW01,Atlanta Regional Commission,Yes,4727,NSA,2020,NSA W01,7433,732,5971,679,80.3,4.6,5963,678,80.2,4.6,5741,677,77.2,5,222,162,3,2.2,8,106,0.1,1.4,1462,295,19.7,3.5,3.7,2.7,222,162,3.7,2.7,6641017.242,12144.97227
87,NSAW02,Atlanta Regional Commission,Yes,4728,NSA,2020,NSA W02,2974,365,2318,422,78,10.5,2310,423,77.7,10.5,2136,410,71.8,10.6,175,124,5.9,4.1,8,64,0.3,2.2,655,201,22,6.2,7.5,5.2,175,124,7.6,5.2,5182003.031,11026.19654
88,NSAW03,Atlanta Regional Commission,Yes,4729,NSA,2020,NSA W03,3918,480,3331,502,85,7.5,3322,501,84.8,7.5,3293,498,84,7.5,30,74,0.8,1.9,9,63,0.2,1.6,587,208,15,5,0.9,2.2,30,74,0.9,2.2,2975697.43,7889.720531
89,NSAW04,Atlanta Regional Commission,Yes,4730,NSA,2020,NSA W04,4878,685,3526,527,72.3,3.7,3491,525,71.6,3.9,3032,442,62.2,2.4,460,310,9.4,6.2,34,105,0.7,2.2,1352,390,27.7,7,13,8.6,460,310,13.2,8.6,5770082.313,18103.28976
90,NSAX01,Atlanta Regional Commission,Yes,4731,NSA,2020,NSA X01,2154,376,1487,326,69,9.2,1487,326,69,9.2,1407,311,65.3,8.9,80,108,3.7,4.9,0,58,0,2.7,668,233,31,9.4,5.4,7.1,80,108,5.4,7.1,2728206.063,9019.642759
91,NSAX02,Atlanta Regional Commission,Yes,4732,NSA,2020,NSA X02,1669,336,904,251,54.2,10.4,904,251,54.2,10.4,817,243,49,10.7,87,91,5.2,5.3,0,52,0,3.1,765,218,45.8,9.2,9.6,9.7,87,91,9.6,9.7,3563051.465,7914.889397
92,NSAX03,Atlanta Regional Commission,Yes,4733,NSA,2020,NSA X03,2249,521,1005,342,44.7,11.2,1005,342,44.7,11.2,921,337,40.9,11.6,85,97,3.8,4.2,0,57,0,2.5,1244,310,55.3,5.1,8.4,9.2,85,97,8.4,9.2,2291192.25,6614.368531
93,NSAX04,Atlanta Regional Commission,Yes,4734,NSA,2020,NSA X04,3100,408,2061,355,66.5,7.4,2061,355,66.5,7.4,1864,330,60.1,7.1,197,159,6.4,5,0,80,0,2.6,1039,243,33.5,6.5,9.6,7.5,197,159,9.6,7.5,6452552.715,12760.95788
94,NSAX05,Atlanta Regional Commission,Yes,4735,NSA,2020,NSA X05,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,0,0,,,1316277.195,4795.295247
95,NSAY01,Atlanta Regional Commission,Yes,4736,NSA,2020,NSA Y01,2721,352,776,235,28.5,7.8,776,235,28.5,7.8,678,216,24.9,7.2,98,130,3.6,4.8,0,93,0,3.4,1945,261,71.5,2.6,12.6,16.3,98,130,12.6,16.3,3279252.16,9470.073283
96,NSAY02,Atlanta Regional Commission,Yes,4737,NSA,2020,NSA Y02,2199,1068,1289,587,58.6,39.1,1286,587,58.5,39,874,329,39.7,24.4,413,493,18.8,20.5,3,69,0.1,3.1,909,405,41.4,27.3,32,35.4,413,493,32.1,35.5,1488582.551,5455.160323
